scopus_id,eid,title,references,cited_by
105014601110,2-s2.0-105014601110,Integrating artificial intelligence and quantum computing: A systematic literature review of features and applications,1,1
105020256813,2-s2.0-105020256813,Comparative Study of Bibliometric Analyses on AI in Cybersecurity Risk Management,0,0
105020177469,2-s2.0-105020177469,Content Analysis of ASEAN Data Protection Laws: Privacy and Artificial Intelligence Use in Healthcare,0,0
105020251732,2-s2.0-105020251732,Voice-Controlled IoT Devices: A Comprehensive Review of Cybersecurity Challenges,0,0
105014931041,2-s2.0-105014931041,Security practices and insider threats in Spanish healthcare centers: a survey-based risk assessment,0,0
105019222141,2-s2.0-105019222141,Strengthening IoT Healthcare Security: Master-Code Multi-factor Authentication Against Deepfake Threats,0,0
105020573000,2-s2.0-105020573000,Digital Hospitals: How the Metaverse is Reshaping Healthcare Services,0,0
105013259135,2-s2.0-105013259135,A Survey of Anomaly Detection in Graphs: Algorithms and Applications,0,0
105020237048,2-s2.0-105020237048,Smart Healthcare Systems and Artificial Intelligence: Leveraging Data-Driven Solutions in Healthcare,0,0
105017860153,2-s2.0-105017860153,"Ethical, data security, and resource allocation considerations in AI integration for healthcare during Hajj: task force insights and future directions",0,0
105019265364,2-s2.0-105019265364,Shaping the Future of Pharmacy Business and Pharmaceutical Sciences Using Artificial Intelligence,0,0
105020017931,2-s2.0-105020017931,Enhancing Healthcare Security with Fog Computing and Blockchain Technology,0,0
105014186886,2-s2.0-105014186886,Beyond automation: Unveiling the potential of agentic intelligence,0,0
105020258087,2-s2.0-105020258087,Securing Insulin Pumps Against Malicious Injections: A TinyML-Based Anomaly Detection Approach,0,0
105019321565,2-s2.0-105019321565,Securing Sensitive Data Using Quorum-Based Encryption in HealthCare,0,0
105015635231,2-s2.0-105015635231,"1st International Conference on Applied Artificial Intelligence, 2AI 2024",0,0
105020202288,2-s2.0-105020202288,Securing the Future: Novel Policy Solutions for Addressing Adversarial Attacks and Disinformation in AI-Powered Systems,0,0
105015737161,2-s2.0-105015737161,"32nd European Conference on Systems, Software and Services Process Improvement, EuroSPI 2025",0,0
105014512631,2-s2.0-105014512631,"32nd European Conference on Systems, Software and Services Process Improvement, EuroSPI 2025",0,0
105020092216,2-s2.0-105020092216,"4th International Conference on Universal Threats in Expert Applications and Solutions, UNI-TEAS 2025",0,0
105013473991,2-s2.0-105013473991,"2nd International Conference on Optimization and Data Science in Industrial Engineering, ODSIE 2024",0,0
105020575967,2-s2.0-105020575967,"4th International Conference on Universal Threats in Expert Applications and Solutions, UNI-TEAS 2025",0,0
105011685820,2-s2.0-105011685820,"16th International Conference on Management of Digital EcoSystems, MEDES 2024",0,0
105015046597,2-s2.0-105015046597,"Digital health education in Australian universities: Trends, gaps, and future directions",0,0
105011768449,2-s2.0-105011768449,Evaluating Service-Based Privacy-Protection for Augmented Reality Applications,0,0
